,Datetime,Likes_Count,retweet_Count,Tweet Id,Text,Username
0,2021-04-30 21:35:10+00:00,724,138,1388245567659200514,https://t.co/nWkaqKicZW,jack
1,2021-04-30 18:41:00+00:00,1115,87,1388201735769006081,@asaaseradio995 No plans yet! But def going to at some point.,jack
2,2021-04-27 15:55:33+00:00,504,11,1387072936469741570,@AdamSinger @tyler @lopp 💯,jack
3,2021-04-22 16:14:54+00:00,34,1,1385265866284142597,@bborrman @leslieberland thank you Brandon!,jack
4,2021-04-21 16:16:35+00:00,16085,2910,1384903902907314176,#bitcoin incentivizes renewable energy https://t.co/KCe5bwdVs4,jack
5,2021-04-13 20:53:15+00:00,15285,1962,1382074425906978820,Why do we need an alternative? https://t.co/26dfIIpnmC,jack
6,2021-04-12 14:05:32+00:00,35188,13157,1381609431381766147,"🇬🇭 Twitter is now present on the continent.  

Thank you Ghana and @NAkufoAddo. #TwitterGhana https://t.co/tt7KR3kvDg",jack
7,2021-04-09 21:33:13+00:00,649,41,1380634933471940610,@dionnewarwick Here it is: https://t.co/xlRAy4sk1N,jack
8,2021-04-08 20:09:48+00:00,256,22,1380251553316139014,@theBLOCKCLOCK @nvk 💯,jack
9,2021-04-07 17:02:51+00:00,137,12,1379842116168380420,@mempool @Square @moneyball 🙏🏼,jack
10,2021-04-06 16:26:05+00:00,4973,878,1379470475605196806,Announcing CCI #bitcoin https://t.co/cT3AQf0op7,jack
11,2021-04-05 23:24:38+00:00,6758,1206,1379213420617216002,https://t.co/siyJRYYelc,jack
12,2021-04-02 22:51:54+00:00,540,64,1378118017297612800,In total #StartSmall made 26 direct grants to API-led and -serving orgs totaling $8.8mm. All in tracking doc: https://t.co/NEvCyaT6aR,jack
13,2021-04-02 22:48:52+00:00,2662,446,1378117254001360918,#StopAsianHate https://t.co/6W209dPWor,jack
14,2021-04-01 23:23:04+00:00,1940,181,1377763475708121089,🔔 https://t.co/CcwlVPz2BS,jack
15,2021-04-01 01:13:28+00:00,1688,186,1377428867435008001,https://t.co/buGA9cYHO5,jack
16,2021-03-25 20:19:55+00:00,762,22,1375180666577412099,@gasca Yes,jack
17,2021-03-25 19:14:10+00:00,187,14,1375164120161419267,@Iyervval We want to,jack
18,2021-03-25 18:54:20+00:00,2020,201,1375159131548512257,Agreed https://t.co/XGF8Y5SQiy,jack
19,2021-03-25 18:26:48+00:00,3780,887,1375152199433527296,?,jack
20,2021-03-25 16:46:02+00:00,1212,143,1375126841808224260,"We appreciate the enormous privilege we have in building technologies to host some of the most important conversations in the world. And we honor the desire to create better outcomes for everyone who interacts with them. Thanks for your time, and I look forward to the discussion.",jack
21,2021-03-25 16:46:01+00:00,1409,202,1375126838066827270,One final note. We’re all a bunch of humans with a desire to make the world around us better for everyone living today and those that come after us. We make mistakes in prioritization and execution. We commit to being open about these and doing our best to remedy what we control.,jack
22,2021-03-25 16:46:00+00:00,815,126,1375126834958884865,A decentralized open-source protocol for social media is our vision and work for the long term. We continue the cycle mentioned earlier of constantly improving our approach to content moderation in the short term. I hope our discussion today will focus on more enduring solutions.,jack
23,2021-03-25 16:45:59+00:00,447,44,1375126831565697024,"Finally, it will allow all of us to observe, acknowledge, and address any societal issues that arise much faster. Having more eyes on the problems will lead to more impactful solutions that can be built directly into the protocol. Making the network far more secure and resilient.",jack
24,2021-03-25 16:45:59+00:00,458,45,1375126827761463300,"Second, since the base protocol is shared, it will increase innovation around business models, recommendation algorithms, and moderation controls which are in the hands of individuals, rather than private companies. This will allow people to experiment in a market-based approach.",jack
25,2021-03-25 16:45:58+00:00,476,55,1375126824108269574,"How does an open protocol address the concerns raised here? Greater transparency is the strongest benefit. Anyone around the world can see everything that’s happening in the network including exactly how it works. One doesn’t have to trust a company, just look at the source code.",jack
26,2021-03-25 16:45:57+00:00,688,131,1375126820383645697,"We’ve started work on such a standard, which we call @bluesky. It intends to act as a decentralized open source social media protocol, not owned by any single company or organization. Any developer around the world can help develop it, just as any company can access its services.",jack
27,2021-03-25 16:45:56+00:00,402,42,1375126816873017347,"So how do we resolve these two viewpoints? One way is to create shared protocols. Social media has proven itself to be important enough to be worthy of an internet protocol. One that a company like Twitter can contribute to, and compete on creating experiences people love to use.",jack
28,2021-03-25 16:45:55+00:00,352,33,1375126813211430914,"This would also have the effect of putting enormous resource requirements on businesses and services, which will further entrench only those who are able to afford it. Smaller businesses would not be able to compete, and all activity would be centralized into very few businesses.",jack
29,2021-03-25 16:45:54+00:00,768,133,1375126809637912579,"If instead we woke up tomorrow and decided to ask the government to tell us what content to take down or leave up, we may end up with a service that couldn’t be used to question the government. This is a reality in many countries today, and is against the rights of an individual.",jack
30,2021-03-25 16:45:53+00:00,413,54,1375126806223679488,"Different businesses and services will have different policies, some more liberal than others. And we believe it’s critical this variety continues to exist. Forcing every business to behave the same reduces innovation and individual choice, and diminishes free marketplace ideals.",jack
31,2021-03-25 16:45:53+00:00,499,75,1375126802960556033,"If we woke up tomorrow and decided to stop moderating content we’d end up with a service very few people or advertisers would want to use. Ultimately we’re running a business, and a business wants to grow the number of customers it serves. Enforcing policy is a business decision.",jack
32,2021-03-25 16:45:52+00:00,359,37,1375126799084969986,Many of you will have strong opinions on how effective we are in this work. Some of you will say we’re doing too much and removing free speech rights. Some of you will say we’re not doing enough and end up causing more harm. Both points of view are reasonable and worth exploring.,jack
33,2021-03-25 16:45:50+00:00,406,52,1375126792911036421,"Disinformation is a broad concept. We needed to focus our approach on where we saw the greatest risk if we hoped to have any impact. So we chose to focus on disinformation leading to offline harm, and three categories to start: manipulated media, public health, &amp; civic integrity.",jack
34,2021-03-25 16:45:49+00:00,305,32,1375126786883743746,"Much of what we’re likely to discuss today are entirely new situations the world has never experienced before, and in some unique cases involve elected officials. And we believe the best way to face a big new challenge is through narrowing the problem to have the greatest impact.",jack
35,2021-03-25 16:45:48+00:00,336,29,1375126784132358145,"Our process to moderate content is designed to consistently evolve. We observe what’s happening on our service, we work to understand the ramifications, and we use that understanding to strengthen our operations. We push ourselves to improve based on the best information we have.",jack
36,2021-03-25 16:45:47+00:00,510,74,1375126781171097602,"We believe in free expression. We believe in free debate and conversation to find the truth. At the same time we must balance that with our desire for our service not to be used to sow confusion, division, or destruction. This makes the freedom to moderate content critical to us.",jack
37,2021-03-25 16:45:47+00:00,401,36,1375126779803836420,"In our discussion today, some of you might bring up specific tweets or examples and I’ll probably have an answer like “my team will follow up with you.” I don’t think that is useful. I’d rather us focus on principles and approaches to address these problems. I’ll start with ours.",jack
38,2021-03-25 16:45:47+00:00,2314,441,1375126777761161223,"Thank you Members of the Energy and Commerce Committee and its Subcommittees, for the opportunity to speak with the American people about how Twitter may be used to spread disinformation, and our solutions. My remarks will be brief so we can move to your questions and discussion.",jack
39,2021-03-22 18:53:23+00:00,6346,1296,1374071729467707394,"Sent to @GiveDirectly Africa fund 🌍Thank you, @sinaEstavi. https://t.co/aEZu07auLV",jack
40,2021-03-20 14:07:46+00:00,21581,2385,1373275072392278018,50/50,jack
41,2021-03-18 21:04:22+00:00,314,86,1372655138981224450,@EnesKanter @Twitter 🙏🏼,jack
42,2021-03-18 16:45:40+00:00,7430,1681,1372590033803284480,beautiful work #bitcoin https://t.co/BErHZ2wUts,jack
43,2021-03-18 16:40:31+00:00,1091,116,1372588739093012484,💯 https://t.co/N2IznHTfHF,jack
44,2021-03-17 16:39:18+00:00,10497,1770,1372226044946755586,#bitcoin first https://t.co/vd5fBRSkkn,jack
45,2021-03-17 16:25:57+00:00,2921,522,1372222684294225921,#StopAsianHate https://t.co/SI2e9ceJFq,jack
46,2021-03-17 01:39:37+00:00,3549,588,1371999634298695680,🇳🇬 https://t.co/vaykeMVfHn,jack
47,2021-03-16 00:07:29+00:00,2614,381,1371614057338376193,"Congratulations, ⁦@Beyonce⁩!

 https://t.co/EJ6hJx3RcN",jack
