,Datetime,Likes_Count,retweet_Count,Tweet Id,Text,Username
0,2021-04-30 21:54:01+00:00,871,87,1388250313841389572,"Also a must read for readers of Stephen King.
Stephen King sez so. https://t.co/FnQz0365NO",StephenKing
1,2021-04-30 16:03:32+00:00,2362,141,1388162109419233281,"All too often. But sometimes, after enough time has passed, those scenes pass the coolness test after all. https://t.co/T3KQrpZ2lp",StephenKing
2,2021-04-30 11:35:57+00:00,2868,145,1388094768656363523,"Has anyone else noticed that in The NY Times electronic edition, the bestseller list appears to be stuck on April 4th?",StephenKing
3,2021-04-29 20:52:27+00:00,5715,322,1387872428815175686,I’m sending cast and crew a hunka hunka burning love. https://t.co/rGr9Z0f7k0,StephenKing
4,2021-04-29 16:22:29+00:00,2178,152,1387804493132271618,Churning is for butter. Not books. https://t.co/24rTb5imPO,StephenKing
5,2021-04-29 16:20:48+00:00,2581,111,1387804068580675584,True thing. https://t.co/i1wmtx23ph,StephenKing
6,2021-04-29 02:08:38+00:00,6721,662,1387589611258630144,The waste of a perfectly good drone. https://t.co/gTiLjURsrO,StephenKing
7,2021-04-28 20:18:17+00:00,3918,269,1387501442978680832,"Check out the Losers' Club podcast sometime. Those guys are fun to listen to, although sometimes I feel like Tom and Huck attending their own funeral! 🤣",StephenKing
8,2021-04-27 00:50:12+00:00,8746,348,1386845098458161155,How is it possible it took me 30 fucking years to make the acquaintance of Mr. Furious Styles?,StephenKing
9,2021-04-27 00:46:32+00:00,6863,249,1386844175279300611,"Continuing my trip through 60 years of films, most of which I haven't seen before:
THE LITTLE MERMAID (1989)
GODFATHER III, THE DEATH OF MICHAEL CORLEONE (1990/2020)
BOYZ 'N THE HOOD (1991)",StephenKing
10,2021-04-26 16:18:40+00:00,4058,344,1386716367416664066,"The annual Academy Award ritual has occurred.
BEFORE: Press and media gin up wild excitement about who will win, who will lose, what they’ll wear, what they’ll say.
AFTER: Press and media piss and moan about how boring it was.
Rinse and repeat.",StephenKing
11,2021-04-26 16:10:11+00:00,1249,97,1386714232549478403,Oh my God! This looks so good! https://t.co/lgFIAswkIv,StephenKing
12,2021-04-26 16:07:09+00:00,91,4,1386713468431212546,@BrianKeene @KevinFCorrigan What year was it released?,StephenKing
13,2021-04-26 16:05:07+00:00,79774,9074,1386712958127022083,Get the damn vax.,StephenKing
14,2021-04-26 16:04:25+00:00,8148,783,1386712781072879621,"For that matter, your chances of being in a fatal car crash are higher than the chances of throwing a clot. If you haven’t done it, do it today.",StephenKing
15,2021-04-26 16:03:18+00:00,30862,4197,1386712499538604033,"Listen up: Your chances of dying of COVID are exponentially higher than the chances of throwing a blood clot as a result of the J&amp;J vax. Get vaccinated. If you don’t do it for yourself, do it for others.",StephenKing
16,2021-04-25 21:27:46+00:00,52500,3383,1386431767440101378,"Matt Gaetz is kind of a slimebucket, isn’t he?",StephenKing
17,2021-04-25 21:20:00+00:00,984,65,1386429813544525829,Peter Lorre was in Rawhide? Wow. Wonder if he had scenes with Clint “Rowdy Yates” Eastwood. https://t.co/wLkUmLMrcn,StephenKing
18,2021-04-25 21:18:55+00:00,51,0,1386429539442647041,@mikesaari1 No.,StephenKing
19,2021-04-25 20:48:42+00:00,3267,189,1386421937199484928,"Was Peter Lorre ever in a Western? Seems unlikely, but with Hollywood ya never know.",StephenKing
20,2021-04-24 21:45:27+00:00,1917,145,1386073831085912064,What fun! https://t.co/N7WFKeN6rS,StephenKing
